id,District,School,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,PercChg,change,PercChg1617,enrollChg,year1,year2,Note
40,Lyons Township HS Dist. 204,Lyons Twp. H.S.,243,252,202,223,219,219,212,192,206,186,-23.5%,-57,-9.7%,6.1%,2008,2016,--
41,New Trier HS Dist. 203,New Trier H.S.,231,213,195,218,214,184,191,187,169,181,-21.6%,-50,7.1%,-32.1%,2008,2016,--
42,Maine Township HS Dist. 207,Maine East H.S.,96,127,103,77,74,76,53,92,74,76,-20.8%,-20,2.7%,-4.0%,2008,2016,--
43,Lisle Unit Dist. 202,Lisle H.S.,68,61,64,66,63,56,47,51,57,54,-20.6%,-14,-5.3%,-9.7%,2008,2016,--
44,Orland Park HS Dist. 230,Andrew H.S.,183,174,165,159,160,168,150,155,153,146,-20.2%,-37,-4.6%,-17.3%,2008,2016,--
45,Wauconda Unit Dist. 118,Wauconda H.S.,122,112,117,104,113,111,118,110,120,98,-19.7%,-24,-18.3%,4.6%,2008,2016,--
46,Northwest HS Dist. 214,Prospect H.S.,130,117,110,113,106,116,120,108,102,105,-19.2%,-25,2.9%,0.5%,2008,2016,--
47,Indian Prairie Unit Dist. 204,Metea Valley H.S.*,--,--,141,173,171,180,175,181,162,114,-19.1%,-27,-29.6%,51.4%,2010,2016,Schools did not have 10 years worth of player data because they either hadn't opened or closed during the researched time period.
48,St. Charles Unit Dist. 303,St Charles East H.S.,140,153,175,171,170,183,180,149,134,114,-18.6%,-26,-14.9%,16.3%,2008,2016,--
49,Elgin Area Dist. U-46,South Elgin H.S.,167,178,167,167,159,171,160,157,137,136,-18.6%,-31,-0.7%,14.9%,2008,2016,--
50,Northwest HS Dist. 214,Hersey H.S.,138,143,153,185,157,142,133,124,111,113,-18.1%,-25,1.8%,-0.2%,2008,2016,--
51,Lake Forest HS Dist. 115,Lake Forest H.S.,152,144,127,124,114,134,130,145,140,125,-17.8%,-27,-10.7%,-4.4%,2008,2016,--
52,Geneva Unit Dist. 304,Geneva Comm. H.S.,179,171,146,169,175,156,160,151,129,149,-16.8%,-30,15.5%,-0.1%,2008,2016,--
53,Antioch HS Dist. 117,Antioch Comm.H.S.,151,149,136,123,131,121,115,121,125,127,-15.9%,-24,1.6%,-6.8%,2008,2016,--
54,Northwest HS Dist. 214,Elk Grove H.S.,117,137,142,134,141,122,121,122,90,99,-15.4%,-18,10.0%,-4.0%,2008,2016,--
55,Downers Grove HS Dist. 99,Downers Grove North,156,150,171,156,167,179,152,169,163,133,-14.7%,-23,-18.4%,3.2%,2008,2016,--
56,Northwest HS Dist. 214,Buffalo Grove H.S.,150,159,160,145,125,108,109,114,124,128,-14.7%,-22,3.2%,-6.9%,2008,2016,--
57,Community Unit Dist. 300,Dundee-Crown H.S.,138,129,158,135,124,129,151,127,123,118,-14.5%,-20,-4.1%,2.3%,2008,2016,--
58,Central Unit Dist. 301,Central H.S.,97,94,96,95,111,92,121,84,80,83,-14.4%,-14,3.8%,5.6%,2008,2016,--
59,Kaneland Unit Dist. 302,Kaneland Senior H.S.,111,98,98,95,65,102,94,83,87,96,-13.5%,-15,10.3%,11.1%,2008,2016,--
60,Elgin Area Dist. U-46,Bartlett H.S.,172,184,157,151,161,179,149,160,149,149,-13.4%,-23,0.0%,-8.6%,2008,2016,--
61,Lake Park HS Dist. 108,Lake Park H.S.,193,175,144,173,194,178,185,185,166,168,-13.0%,-25,1.2%,-6.4%,2008,2016,--
62,Fenton HS 100,Fenton H.S.,80,70,102,122,129,103,92,91,86,70,-12.5%,-10,-18.6%,5.0%,2008,2016,--
63,Stevenson HS Dist. 125,Stevenson H.S.,192,182,187,173,156,163,155,168,170,170,-11.5%,-22,0.0%,-8.8%,2008,2016,--
64,Maine Township HS Dist. 207,Maine West H.S.,101,125,99,107,102,130,122,114,117,90,-10.9%,-11,-23.1%,-14.4%,2008,2016,--
65,Orland Park HS Dist. 230,Stagg H.S.,171,149,149,145,128,150,158,147,143,153,-10.5%,-18,7.0%,-11.1%,2008,2016,--
66,Libertyville HS Dist. 128,Vernon Hills H.S.,99,103,107,105,102,100,86,88,89,89,-10.1%,-10,0.0%,-1.5%,2008,2016,--
67,Palatine-Schaumburg HS Dist. 211,Palatine H.S.,173,199,184,120,174,171,159,155,148,156,-9.8%,-17,5.4%,-1.1%,2008,2016,--
68,Mundelein HS Dist. 120,Mundelein Cons H.S.,143,143,125,119,109,102,94,99,121,129,-9.8%,-14,6.6%,-9.8%,2008,2016,--
69,Round Lake Unit Dist. 116,Round Lake Senior H.S.,89,74,87,100,102,103,101,115,95,82,-7.9%,-7,-13.7%,20.4%,2008,2016,--
70,Grant HS Dist. 124,Grant Comm. H.S.,135,118,129,134,144,127,106,104,96,125,-7.4%,-10,30.2%,16.3%,2008,2016,--
71,Libertyville HS Dist. 128,Libertyville H.S.,168,184,186,183,164,146,159,177,152,157,-6.5%,-11,3.3%,-3.3%,2008,2016,--
72,DuPage HS Dist. 88,Addison Trail H.S.,121,140,135,133,120,159,138,136,118,114,-5.8%,-7,-3.4%,6.7%,2008,2016,--
73,Palatine-Schaumburg HS Dist. 211,Hoffman Estates H.S.,144,133,126,120,120,112,105,116,113,137,-4.9%,-7,21.2%,-11.8%,2008,2016,--
74,Leyden HS Dist. 212,"East Leyden, West Leyden H.S.",169,165,169,158,181,160,147,166,166,161,-4.7%,-8,-3.0%,-3.8%,2008,2016,Sports programs are combined.
75,Bremen HS Dist. 228,Bremen H.S.,128,125,112,113,114,124,129,130,119,122,-4.7%,-6,2.5%,10.9%,2008,2016,--
76,Palatine-Schaumburg HS Dist. 211,Schaumburg H.S.,150,140,151,152,163,160,121,155,154,151,0.7%,1,-1.9%,-14.1%,2008,2016,--
77,Glenbard HS Dist. 87,Glenbard West H.S.,179,173,211,200,175,217,215,223,219,190,6.1%,11,-13.2%,8.3%,2008,2016,--
78,Elgin Area Dist. U-46,Larkin H.S.,87,90,83,101,127,103,85,106,82,93,6.9%,6,13.4%,-4.0%,2008,2016,--
79,Lincoln-Way HS Dist. 210,Lincoln-Way North H.S.*,162,155,171,161,149,154,175,177,--,--,9.3%,15,1.1%,32.4%,2008,2015,Schools did not have 10 years worth of player data because they either hadn't opened or closed during the researched time period.
80,Oak Park and River Forest HS Dist. 200,Oak Park & River Forest H.S.,157,170,175,172,174,197,174,181,188,173,10.2%,16,-8.0%,7.1%,2008,2016,--
81,West Aurora Unit Dist. 129,West Aurora H.S.,164,174,156,192,192,175,166,172,186,186,13.4%,22,0.0%,11.3%,2008,2016,--
82,Lincoln-Way HS Dist. 210,Lincoln Way West H.S.*,--,105,138,152,150,144,151,151,174,169,22.5%,31,-2.9%,46.2%,2010,2016,Schools did not have 10 years worth of player data because they either hadn't opened or closed during the researched time period.
83,Lincoln-Way HS Dist. 210,Lincoln-Way East H.S.,184,202,177,219,203,196,189,219,281,237,28.8%,53,-15.7%,9.7%,2008,2016,--
84,Huntley Unit Dist. 158,Huntley H.S.,157,141,154,159,191,186,224,220,212,203,29.3%,46,-4.2%,54.7%,2008,2016,--
85,Community Unit Dist. 300,Hampshire H.S.,75,84,112,90,102,95,122,121,94,110,46.7%,35,17.0%,83.2%,2008,2016,--
86,Elgin Area Dist. U-46,Elgin H.S.,90,109,81,92,71,81,89,102,88,139,54.4%,49,58.0%,17.0%,2008,2016,--
87,East Aurora Unit Dist. 131,East Aurora H.S.,80,106,101,102,57,79,115,97,106,130,62.5%,50,22.6%,34.9%,2008,2016,--
